id,m1,m2,b1,b2,category,reference,page
kelvin,1,1,0,1,metricSi,,
quettakelvin,1000000000000000000000000000000,1,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
ronnakelvin,1000000000000000000000000000,1,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
yottakelvin,1000000000000000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
zettakelvin,1000000000000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
exakelvin,1000000000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
petakelvin,1000000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
terakelvin,1000000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
gigakelvin,1000000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
megakelvin,1000000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
kilokelvin,1000,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
hectokelvin,100,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
decakelvin,10,1,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
decikelvin,1,10,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
centikelvin,1,100,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
millikelvin,1,1000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
microkelvin,1,1000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
nanokelvin,1,1000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
picokelvin,1,1000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
femtokelvin,1,1000000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
attokelvin,1,1000000000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
zeptokelvin,1,1000000000000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
yoctokelvin,1,1000000000000000000000000,0,1,metricSi,https://www.nist.gov/pml/owm/metric-si-prefixes,
rontokelvin,1,1000000000000000000000000000,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
quectokelvin,1,1000000000000000000000000000000,0,1,metricSi,doi:10.59161/10.59161/CGPM2022RES3E,
celsius,1,1,5463,20,metricSi,,
fahrenheit,5,9,45967,180,english,,
rankine,5,9,0,1,english,,
reaumur,5,4,5463,20,french,,